İsim,Adres,Telefon,E-posta
Demet lahmacun kebap,İnkilap caddesi,02126321722,
Vatan lokantası,İnkilap caddesi,,
Ali usta baklava,İnkilap caddesi,,
Tat restaurant,İnkilap caddesi,,
Altın şiş kebap,İnkilap caddesi,,
Kakule cafe ve restaurant,İnkilap caddesi,,
Android restaurant,İnkilap caddesi,,
Sultanahmet köftecisi,Teceddüt sokağı,,
Tuana restaurant,Yenikapı kimsalı sokağı,02125290239,
Balık lokantası,Gazi kemalpaşa caddesi,,
Sevinç simit salonu,Gazi kemalpaşa caddesi,,
Pluton restaurant,Koçibey sokağı,,
Bolu tat lokantası,Valide cami sokağı,02125883768,
Dürümcü mehmetin yeri,Valide cami sokağı,02125883066,
Hazal Döner,Koca Mustafapaşa Caddesi,,
Seyran Pastanesi,Koca Mustafapaşa Caddesi,,
Dilek Pastanesi,Koca Mustafapaşa Caddesi,,
Hazal Pide Ve Börek Salonu,Koca Mustafapaşa Caddesi,,
İmamoğlu Kebap ve Lahmacun Salonu,Koca Mustafapaşa Caddesi,,
Çorbacı Alaaddin Ustanın Yeri,Kuvayi Milliye Caddesi,,
Merve Pastaneleri,Kuvayi Milliye Caddesi,,
Öz Antep Tatlıcısı,Kuvayi Milliye Caddesi,,
Etibeyaz,Kuvayi Milliye Caddesi,,
Kirik Çatal Lokantasi,Kuvayi Milliye Caddesi,,
Osmanlı Tulumba Baklava,Kuvayi Milliye Caddesi,,
Paşa Balık,Kuvayi Milliye Caddesi,,
Bağdatlım,Kuvayi Milliye Caddesi,,
Rumeli Köfte Ve Yemek Salonu,Kuvayi Milliye Caddesi,,
Big Mammas,Kuvayi Milliye Caddesi,,
Durak Pide ve Börek,Kuvayi Milliye Caddesi,,
Hafızoğulları Lokantası,Kuvayi Milliye Caddesi,,
Hacı Bozan Oğulları,Ordu Caddesi,,
Beyoğlu Halk Döner,Gazi Mustafa Kemal Paşa Caddesi,,
İstanbul Restoran,Gazi Mustafa Kemal Paşa Caddesi,,
Simit Sarayi,Gazi Mustafa Kemal Paşa Caddesi,,
Hanımeli kıztaşı,Nalbant demir sokak,,
Gaziantep ünal,Fatıh türbesi sokak,02125237237,
Fatih dekorasyon,Mıhçılar caddesi,,
Rumeli Dondurma & Tatlı,Mıhcılar Caddesi,,
Kebapçi salıh usta,Mıhçılar caddesi,,
Fatih Köfte ve Yemek Salonu,,,
Öz karadeniz pide salonu,Yavuz selim caddesi,,
Samsat Cigkofte,Kalburcu Mehmet Cami Sokak,,
Mevlanakapı Merkez Efendi Köftecisi,Mevlanakapı Caddesi,,
Meşhur Çiğbörek,Küçük Saray Meydanı Caddesi,,
Abalı Quesillas Mexican Restaurant,Arma Sokak,,
Bayrut oğlu lokantasi,Kıztaşı caddesi,,
Almahaba restaurant,Kıztaşı caddesi,,
Bizim köfte,Hulusi noyan sokak,02125316850,
Şahin Kardeşler 1 Börek Salonu,Silivrikapı Caddesi,,
Renk Kasabı Et Evi,Mimar kasim Caddesi,,
Acıktım Kardeşler Pide Lahmacun Şehremini,Karabaş Akarcası Sokak,,
Fatih alhayr,Fatih caddesi,,
Sevecen ev yemekleri,Islambol caddesi,,
Al jenani,Islambol caddesi,,
Bab alhara,Darüşşafaka caddesi,,
Akçaabat köfte,Darüşşafaka caddesi,6215777,
Çarşamba kebap,Darüşşafaka caddesi,02125324608,
Karadeniz pide,Yavuz selim caddesi,5349580,
Sultan sarnıcı,Ali Naki Sokak,05323005287,iletisim@sultansarnic.com
Fatih esnaflar lokantası,Fatih caddesi,,
Alraii,Fatih caddesi,,
Şam günleri,Fatih caddesi,,
Nihavent,Fatih caddesi,,
Sefa,Fatih caddesi,,
Dede sultan,Feraizci sokak,,
Öz antakya,Feraizci sokak,,
Sahara saray,Fatih caddesi,,
Durak rumeli köfte,Fevzi paşa caddesi,,
Sebil lokantası,Fevzi paşa caddesi,,
Yıldız saray,Fevzi paşa caddesi,,
Pehlovan,Fevzi paşa caddesi,,
Döner,Küçük değirmen sokak,,
Alnur,Prof. naci şensoy caddesi,,
Sokullu,Su terazisi sokak,,
The wox,Asmali çeşme sokak,,
Baran,Işık sokak,,
Osman,Klodfarer caddesi,,
Kebab and fish house,Peykhane caddesi,,
Saray Kebap,Peykhane caddesi,,
Hidden Garden Sultanat,Peykhane Caddesi,+905320674813,sakiralpinar@gmail.com
Grand vezir,Atmeydanı caddesi,,
Sultan,Atmeydanı caddesi,,
Paşa döner,Fevzi paşa caddesi,5235005,
Etibeyaz,Fevzi paşa caddesi,,
Döner istanbul,Fevzi paşa caddesi,,
Ali usta,Fevzi paşa caddesi,,
Hacıoğlu,Fevzi Paşa Caddesi,5349029,
Kömür turk mutfağı,Fevzi paşa caddesi,5216272,
Kiler Et,Fevzi Paşa Caddesi,02125311919,
Aziz oğulları börek salonu,Turgut özal millet Caddesi,,
Sahtin,,,
Dürümcü,,,
Yüksel Uygur,Turgut özal millet Caddesi,,
Tarbuş,Turgut özal millet Caddesi,,
Mavi Bufe,Turgut özal millet Caddesi,,
Beit alezz,Turgut özal millet Caddesi,,
Mandy hadramut,Haseki caddesi,,
Tarihi Eyüp Sultan,Turgut özal millet Caddesi,02123450000,
Nuri Usta,Turgut özal millet Caddesi,,
Duru,Cerrah Paşa Caddesi,02125851600,
Eda Büfe,Küçük mühendis Sokak,,
General Sofrası,Cerrah Paşa Caddesi,,
Hanim eli,KIZILELMA CADDESİ,,
SARI HAN TIME,KIZILELMA CADDESİ,02125884037,
GIRNE,KIZILELMA CADDESİ,02125890702,
Fetih Börek & Pide,KIZILELMA CADDESİ,02125292611,
EVRIM EXTRA BUFE,KIZILELMA CADDESİ,02125871739,
PIZZALINA,KIZILELMA CADDESİ,02126325800,
EMİRHAN,KIZILELMA CADDESİ,,
Asmalı konağı,Turgut özal millet caddesi,02125866952,
Pilavci ismail usta,Turgut özal millet caddesi,02125889168,
İzgara Evi,Turgut özal millet caddesi,,
Döner Sadık Usta,Cerrah Paşa Caddesi,,
Şifa döner,Cerrah Paşa Caddesi,,
Şark Büfe,Özbek süleyman efendi sokak,,
Abo şemso,Özbek süleyman efendi sokak,,
özbey bufe,Özbek Süleyman Efendi Sokak,02125850450,
Hakiki hatay urunleri,Hekimoğlu ali paşa Caddesi,,
Borek&pide&doner&cafe,Haseki Caddesi,02126327141,
Sultan Balık,Doktor Adnan Adıvar Caddesi,,
MIX,Doktor Adnan Adıvar Caddesi,,
Furkan Döner,Doktor Adnan Adıvar Caddesi,,
Haseki Ev Yemekleri,Haseki Caddesi,,
Adıvar Cafeteria,Doktor Adnan Adıvar Caddesi,,
Martun 2,Doktor Adnan Adıvar Caddesi,,
Gökhan Büfe,Haseki Caddesi,,
Tüğba Kafeterya,Haseki Caddesi,,
Babacan,Salma tomruk caddesi,,
İsot lahmacun,Kurtağa çeşmesi sokak,,
Lezzet çiğ borek,Hasan fehmipaşa Caddesi,,
Yaraligoz borek,Ayan caddesi,,
Özcanlar kebap salonu,Canfeda cami sokak,,
Özen sariyer borekçisi,Canfeda cami sokak,,
Yıldız borek,Canfeda cami sokak,,
Sefa pide,Canfeda cami sokak,,
İkram,Kurtağa Çeşmesi Sokak,,
Cadde Kebap,Slama tomruk Caddesi,,
Ulu kardeşler,Slama tomruk Caddesi,,
Et ustası,Slama tomruk Caddesi,,
Özen sariyer boreği,Slama tomruk Caddesi,,
Çelik et ve tavuk durumları,Slama tomruk Caddesi,,
Akçiçek doner,Slama tomruk Caddesi,,
Cadde döner,Slama tomruk Caddesi,,
Yaprak pide,Draman caddesi,,
Kaçar borek salonu,Fethiye Caddesi,,
Konak Bufe,Fethiye Caddesi,05511382513,
Asitane,Kariye Camii Sokak,,
Keskin gürme,Fevzi paşa caddesi,,
Konyalı topkapı,Gülhane park,,
Matbah,,,
Balikci Sabahattin,Cankurtattan Caddesi,02124581824,
The Cozy Garden,Mimar mehmet ağa Caddesi,,
Magnaura Cafe & Restaurant,Akbıyık Caddesi,,
Tria Elegance Restaurant,Akbıyık Caddesi,,
Albura kathisma resturant & cafe,Akbıyık Caddesi,,
Turquoıse cafe resturant,Akbıyık Caddesi,,
Duvares cafe & resturant,Akbıyık Caddesi,,
Ocean's 7 cafe & resturant,Akbıyık Caddesi,,
Babylonia resturant & pub,Akbıyık Caddesi,02125176408,
Garden resturant,Akbıyık Caddesi,,
Shadow Cafe & Restaurant,Akbıyık Caddesi,,
Mitani Cafe,Akbıyık Caddesi,,
Suleyman,Akbıyık Caddesi,,
Şiva Cafe & Bar,Akbıyık Caddesi,,
West Town Cafe & Restaurant,Mimar mehmet ağa Caddesi,,
Akbıyık Balık Evi,Akbıyık Caddesi,,
3B resturant,Alemdar Caddesi,,
Sultan Mehmet Restaurant & Cafe,Alemdar Caddesi,,
Efezade resturant,Alemdar Caddesi,,
Ela Sofia Kebap,Alemdar Caddesi,,
Gülhane cafe & resturant,Tayahatun sokak,,
Romantic apart hotel,Tayahatun sokak,,
Big Family,Tayahatun sokak,,
Old House Restaurant & Bar Cafe,Utangaç Sokak,,
Köşk Cafe & Restaurant,Adliye sokak,,
Palatium Cafe & Restaurant,Kutlugun sokak,,
Cafe & resturant,Bayram fırnı sokak,,
Meydan börek,Yeni sarçhane sokak,,
Erol taş cafe & resturant,Yeni sarçhane sokak,,
Han sa rang resturant,Yeni sarçhane sokak,,
Imperial Galata,,,
Sait İskender,Laleli Caddesi,,
Barbeku Restoran,Mesihpaşa Caddesi,,
Melodi Restaurant,İhtisap Ağası Sokak,,
Martini lokantası,İhtisap Ağası Sokak,,
Doce Kebap,Çadırcılar Caddesi,5288282,
Öz Yumak,Makasçılar Caddesi,02125195264,
Osmanlızade,Yeniçeriler Caddesi,5229606,
Seos Cafe Restaurant,Yeniçeriler Caddesi,02125119055,
Paşa Döner,Yeniçeriler Caddesi,,
Kelkit Döneri,Yeniçeriler Caddesi,02125121636,
Cihan Derya Balık,Çarşıkapı Caddesi,02125281685,
Emir sultan,Hacı Kadın Çeşmesi Caddesi,02125295533,
Merdane Börek,Hacı Kadın Caddesi,02125857112,
Seyran Pastaneleri,Kocamustafapaşa Caddesi,02125850907,
Paşa Döner,Kocamustafapaşa Caddesi,02125850977,
Şenol,Kocamustafapaşa Caddesi,02125850909,
Birbey Lahmacun,Kocamustafapaşa Caddesi,02126325458,
Yaman Dondurma,Kocamustafapaşa Caddesi,,
Nizam Usta,Kocamustafapaşa Caddesi,,
Elif Pastanesi,Silivrikapı Caddesi,05352282654,
Mir Börek Cafe,Altımermer Caddesi,02125303111,
Şölen Pastaneleri,Altımermer Caddesi,02125859214,
Gaziantep'li Künefeci Ömer Usta,Vezir Caddesi,,
Avcı Kebap,Vezir Caddesi,02125292989,
Mırra Kahvaltı Salonu,Vezir Caddesi,02125875257,
Başaran Yufka Ve Manti,Silivrikapı Caddesi,05444804631,
Beyaz Saray Dondurma Ve Boza,Altımermer Caddesi,,
Crazy Chicken,Altımermer Caddesi,,
KEBAPCI CAHIT USTA,Yapağı Sokak,02125863637,
Pilavcı 1453,Kızılelma Caddesi,,
Baloon,Kızılelma Caddesi,,
Gaziantep Zahter Sofrası,Kızılelma Caddesi,,
Ada Balık Evim,Kızılelma Caddesi,02125860055,
Goralı 1945,Kızılelma Caddesi,02125899067,
Evrim Restoran,Kızılelma Caddesi,+90 212 587 1005,
Pilavcı Nazmi,Vezir Caddesi,02125872923,
Osmanlı Tulumba ve Baklava,Vezir Caddesi,02125872887,
Feyzi Usta Kadayıf ve Baklavaları,Vezir Caddesi,05364430112,
Sürpriz Büfe,Ziya Gökalp Sokak,05051335530,
Tatlıbak,Vezir Caddesi,02125860607,
Karadeniz Pide-Börek Salonu,Yayla Caddesi,05377694064,
Karadeniz Yayla Lokantası,Mecit Bey Sokak,02125304201,
Kalite Börek Salonu,Mecit Bey Sokak,,
Meydan Kahvaltı,Mecit Bey Sokak,05306404988,
URFA SOFRASI HASAN USTA,Miralay Hasan Kazımbey Sokak,05374030202,
Hira Kebap ve Dürüm Evi,Vani Dergahı Sokak,02125893989,
Elif Büfe,Altımermer Caddesi,,
Tadım Unlu Mamulleri,Altımermer Caddesi,02125872338,
Al Baron Restaurant,Hüseyin Kazım Sokak,,
Nazlı Urfa Kebap Salonu,Emrullah Efendi Sokak,02125866706,
köşem büfe,Cevdetpaşa Caddesi,,
Balkan Dondurma,Cevdetpaşa Caddesi,02125864184,
Avcı Kebap,Seyyid Ömer Cami Sokak,02125292989,
Çarşıkapı Muhallebicisi 1984,Nuruosmaniye Caddesi,02125262633,
Susamoğl Baklava,Tığcılar Sokak,05333622948,
Elif Büfe,Tığcılar Sokak,,
Çarşı Ocakbaşı,Tığcılar Sokak,02125133311,
Osmanli Kanat Ve Balik,Tığcılar Sokak,02125133311,
Vitamin Et Lokantası,Tığcılar Sokak,,
Samsun Bafra Pide ve Pizza,Tığcılar Sokak,02125274454,
Karadeniz Pide Kebab Salonu,,02164524343,
Pirim Pub ve Restaurant,Saitefendi Sokağı,,
Aksu Restaurant,Aksaray Caddesi,,
Ararat Restoran,Aksaray Caddesi,,
selam restaurant,Fevzi Paşa Caddesi,,
buhara börek,,,
Ağa Türk Mutfağı,,,
adıyaman çiğ köfte,,,
Tatlıses Çiğ Köfte,,,
Diyar Lahmacun,,,
Mr Kumpir,,,
Baydöner,,,
Tavuk Dünyası,,,
Waffle Stop,,,
Eggstra,Jandarma Mektebi Sokağı,,
Bosnjak,,,
Doğa kır lokantası,Fatih Caddesi,05532266348,dogakirlokantasi@gmail.com
2K Chicken,Tahmis Sokak,,
Ortaklar Kebab Lahmacun,Peykhane Caddesi,02125176198,ortaklaryt1997@gmail.com
TRIA ELEGANCE TERRACE RESTAURANT,Terbıyık Sokağı,+905380230090,
Simit Sarayı,,,
21,Coskun Sokağı,,
Elit Taş Fırın,,,
Felek,,,
Sevgi Bahçesi,,,
Orient Express Restaurant,,,
Pasta Nini,,,
Kuzguncuk Balıkçısı,,,
Gulhane Sark Sofrasi,Alayköşkü Caddesi,,
Yakacık İnci Eczanesi,,0216 451 90 91,
Selam Et Lokantası,Fevzi Paşa Caddesi,02126312595,
Sedet İskender,Fevzi Paşa Caddesi,,
Ziya Şark Sofrası,Fevzi Paşa Caddesi,,
Almanar,Akdeniz Caddesi,,
Diver,Akdeniz Caddesi,,
Akdeniz Büfe,Akdeniz Caddesi,,
Affouri,Akdeniz Caddesi,,
Gülbenoğlu,Akdeniz Caddesi,,
Saitoğulları,Akdeniz Caddesi,,
Kuzey Büfe,Akdeniz Caddesi,02126313147,
Renk büfe,Akdeniz Caddesi,,
hacielaziz chikoftaci,MÜTERCIM ASIM cadde,,
Falafel alshalal,MÜTERCIM ASIM cadde,,
Musilli,MÜTERCIM ASIM cadde,,
Keifine gore felafel,MÜTERCIM ASIM cadde,,
Saruja Restaurant,MÜTERCIM ASIM cadde,,
Debs ve Remman,MÜTERCIM ASIM cadde,,
Meshur sariyer,MÜTERCIM ASIM cadde,,
Hirka-i sherif,MÜTERCIM ASIM cadde,,
Antep sofrasi,MÜTERCIM ASIM cadde,,
Alamin,AMIR BUHARI sokak,,
Nam-i lezzet,SARIGUZEL cadde,,
Konya Etli Pide,Çöpçatan Sokağı,,
Nishantashi bufe,KINALIZADE sokak,,
Shif,hirka-i sherif cd.,,
Ozgelis kabab salonu,surreemini sk.,,
Fatih durum,surreemini sk.,,
Buhara,Hirka-i sherif cd.,,
Patii dunyasi,mutercim Asim Cd.,,
Balik evi,mutercim Asim Cd.,,
Layali assalihya,Halicilar caddesi,,
Ali baba,SANGUZEL caddesi,,
Oses,Halicilar caddesi,,
Şerifoglu,SANGUZEL caddesi,,
Pesto restorant,PALIPASA caddesi,,
Hayat lokantasi,FEYZULLAH EFENDI sokak,,
adiyaman çikoftecisi,FEYZULLAH EFENDI sokak,,
Hacilaziz,PALIPASA caddesi,,
Çagdash lokanta,PALIPASA caddesi,,
Pesto restorant,PALIPASA caddesi,,
Paşalar sofrasi,PALIPASA caddesi,,
Kozde kebap,SAIR CEM sokak,,
Oses,Halicilar caddesi,,
Starbucks,VATAN caddesi,,
Erzurum Cağ Kebap,VATAN caddesi,,
Kebabçı Mahmut,Adnan Menderes Vatan Bulvarı,,
Ahsen hatay sofrasi,VATAN caddesi,,
Fındık Kabuğu Restoran,Yıldırım Caddesi,,
Özkaradeniz,Darüşşafaka Caddesi,,
Zeman alkheir,Fethiye Caddesi,,
ipar pasta evi,Tomruk Sokak,,
İshakpaşa Sofrası,Tahtakale Caddesi,,
Filibe Köfte,Cömert Türk Sokak,,
Cafe Truva,Uzun Çarşı Caddesi,,
Tahtekale Pılavcısı,Uzun Çarşı Caddesi,,
Acemoğlu Beklavaları,Hasırcılar Caddesi,,
Hatay Asi Künefeleri,Hasırcılar Caddesi,,
Meşhur Hasırcılar Ocakbaşı Dürüm,Hasırcılar Caddesi,,
Dilek Züccaciye Eminönü,Tahmis Sokak,,
Meşhur Miss Döner,Sabuncu Hanı Sokak,,
Meşhur Tahtakale Pilavcısı,Sabuncu Hanı Sokak,,
Simit Salonu,Sabuncu Hanı Sokak,,
Kale Derya,Kennedy Avenue,,
The new season restourant,Kapıağası Sokak,,
Myterrace Cafe & Restaurant,Şehit Mehmetpaşa Yokuşu,,
Garden 1897 Restaurant,Demirci Reşit Sokağı,,
Warung Ibu Deden Restaurant,Nekilbent Sokak,,
Belli Resturant,Çayıroğlu Sokak,,
Marbella Cafe ve Restaurant,Küçük Ayasofya Caddesi,,
Karina Fish House,Mustafa Paşa Sokak,,
Mostra Fish Restaurant 3.7·11 re,Mustafa Paşa Sokak,,
Mevlana Kebap Salonu,Şehsuvar Bey Sokak,,
Mitara Cafe,Kaleci Sokak,,
Alice,Kaleci Sokak,,
Ziya Baba Slow Food,Kadırga Limanı Caddesi,,
Reggae BR Shot and Food,Kadırga Limanı Caddesi,,
Ezgi restaurant,Kadırga Limanı Caddesi,,
Ayasofya Liman Restorant,Kadırga Limanı Caddesi,,
Kadırga Resturant,Kadırga Limanı Caddesi,,
Sofya Kebab House,Kadırga Limanı Caddesi,,
Şafak Restaurant,Küçük Ayasofya Caddesi,,
Hippodrome Restaurant,Küçük Ayasofya Caddesi,,
Mosaic Terrace Restaurant,Küçük Ayasofya Caddesi,,
Chungiwa,Küçük Ayasofya Caddesi,,
Şirvan Şark Sofrası,Küçük Ayasofya Caddesi,,
East and Food,Küçük Ayasofya Caddesi,,
Tarihi Çesme Restaurant,Küçük Ayasofya Caddesi,,
Altin Cafe ve Restaurant,Küçük Ayasofya Caddesi,,
Öz Karadeniz,Adem Yavuz Sokak,,
Çeşme Döner Büfe,Bezciler Sokak,,
Hacı Ali Usta,Tezkereci Sokak,,
TAHTA KAŞIK RESTAURANT,Ceridehane Sokak,,
Yörem Et ve İskender Salonu,Ceridehane Sokak,,
Cemiyet Lokali,Türk Ocağı Caddesi,,
Meshur Üsküp Köftecisi,Bileyciler Sokak,,
Kardeşler Köftecisi,Kürkçüler Pazarı Sokak,,
Kebapçı Şahin Usta,Tavuk Pazarı Sokak,,
Karadeniz Pide Salonu,Tavuk Pazarı Sokak,,
Kasap Kebap,Tavuk Pazarı Sokak,,
EHLI KEBAP,Tavuk Pazarı Sokak,,
Şehmuz Kebap Salonu,Atik Ali Paşa Sokak,,
Çemberlitaş Aksoy Dönercisi,Kürkçüler Pazarı Sokak,+90 212 520 89 89,
Makarna Sarayı,Vezirhan Caddesi,,
Çemberlitaş Köftecisi,Vezirhan Caddesi,,
Dehliz Restaurant,Vezirhan Caddesi,,
KOSEM,Ali Baba Türbe Sokak,,
Mescgur Sariyer Börekçisi,Vezirhan Caddesi,,
Bursa Gül Lokantası,Vezirhan Caddesi,,
Aslan,Vezirhan Caddesi,,
Gül Tantik,Gazi Sinan Paşa Sokak,,
Otantik Karaca Kardelen,Türbedar Sokak,,
Ottoman et Mangal,Çarşıkapı Nuruosmaniye Caddesi,,
Tarihi Sofçuhan Muhallebicisi,Çarşıkapı Nuruosmaniye Caddesi,,
Sütiş Special,Çarşıkapı Nuruosmaniye Caddesi,,
Vejetaryen Mutfak,Kılıçcılar Sokak,,
Tarihi Subaşı Lokantası,Çarşıkapı Nuruosmaniye Caddesi,,
Dönerci Şahin Usta,Kılıçcılar Sokak,,
Nuruosmaniye Köftecisi,Türbedar Sokak,,
Karacadağ Sofrası,Çifte Gelinler Caddesi,,
Kaçkar Saray Büfe,Kadırga Limanı Caddesi,,
Hira Lokantası,Kadırga Limanı Caddesi,,
Göçmen Börekçisi,Yeniçeriler Caddesi,,
Şar Restaurant,Yeniçeriler Caddesi,,
Koska,Yeniçeriler Caddesi,,
Divan Kebap Döner Salonu,Tiyatro Caddesi,,
Özhanedan,Tiyatro Caddesi,,
Özbek Taomlari Lezzet,Tiyatro Caddesi,,
Beydağı,Küçük Yıldız Hanı Sokak,,
Dürümcü Ömer Usta,Küçük Yıldız Hanı Sokak,,
Dürümcü Raif Usta,Küçük Yıldız Hanı Sokak,,
Doydukmu,İskender Boğazı Sokak,,
Beyazit Sarayi Restorant,Sipahi Caddesi,,
Saaf-İ Kebap Salonu,İskender Boğazı Sokak,,
Gelgör Kebap Salonu,İskender Boğazı Sokak,,
Mardin Et Ve Kebap Salonu,İskender Boğazı Sokak,,
Bolca Köfte Ve Piliç Çevirme,Hüseyin Ağa Cami Sokak,,
Karadeniz Köfte ve Yemek Salonu,Hüseyin Ağa Cami Sokak,,
Cennet Ev Yemekleri,Kürkçüler Kapısı Sokak,,
Alrayan Restaurant,Kürkçüler Kapısı Sokak,,
Ciğerci Üçleri,Hüseyin Ağa Cami Sokak,,
Orhan Usta Et Lokantası,Hüseyin Ağa Cami Sokak,,
Unsal Kebap,Hüseyin Ağa Cami Sokak,,
Yıldız Kebap,İskender Boğazı Sokak,,
Tadım Köfte Salonu,İskender Boğazı Sokak,,
Al Rayan Restoran,Çarşıkapı Caddesi,,
Bosna,Yeniçeriler Caddesi,,
Gedikpaşa Balıkçısı,Gedikpaşa Caddesi,,
Güloğlu Baklava ve Börek Salonu,Gedik Paşa Caddesi,,
Şar Restaurant,Gedik Paşa Caddesi,,
Istanbul Restaurant,Gedik Paşa Caddesi,,
Aslı Börek,Gedik Paşa Caddesi,,
Fatih Köfte,Gedik Paşa Caddesi,,
Vaha Cafe ve Restaurant,Sucu Baki Sokak,,
Bıçakçılar,Sucu Baki Sokak,,
Amcabey Dürüm Kebap Salonu,Divani Ali Sokak,,
Antakya Restaurant,Divani Ali Sokak,,
Anatolia Restaurant,Divani Ali Sokak,,
Gaziantepli Altınoğlu Baklava,Yahya Paşa Sokak,,
Aziz Usta,Yahya Paşa Sokak,,
Anar Kardeşler Köftecisi,Asmakandil Sokağı,,
Meşhur Unkapanı Pilavcısı,Asma Kandil Sokak,,
Özen Lokantası,Asma Kandil Sokak,,
İkizler Pilav ve Dürüm Evi,Bali Paşa Yokuşu,,
Şehzade Ocakbaşı Restaurant,Kurban Sokak,,
Elif Köfte Salonu,Çadır Çeşmesi Sokak,,
Delil Döner,Sandalcı İhsan Sokak,,
Konya Etli Ekmek Salonu,Bali Paşa Yokuşu,,
Gür Kebap,Musellim Sokak,,
Altın Şiş Kebap Salonu,Mutrip Sokak,,
Develi Pide Salonu,Semih Sokak,,
Köşem,Semih Sokak,,
Fırat Ocakbaşı,Esirci Kemalettin Camii Sokak,,
Meşhur Pilavcı,Tarakçılar Caddesi,,
Yılmaz Köfte,Tığcılar Sokak,,
Fahri Usta,Mahmutpaşa Yokuşu Sokak,,
Közde Kanatçı Reco,Örücüler Kapısı Sokak,,
Tarihi Eminönü Balıkçısı,Ragıp Gümüşpala Caddesi,,
Eminönü Balikçisi ve Cafe,Ragıp Gümüşpala Caddesi,,
Küffette Köfte,Ragıp Gümüşpala Caddesi,,
Tarihi Özkan Koftecisi,Uzun Çarşı Caddesi,,
Hasırcılar Kebap Salonu,Kutucular Caddesi,,
Mavi Haliç Pide Salonu,Kutucular Caddesi,,
Köfteci Yaşar,Mahkeme Altı Caddesi,,
Golden Night,Park İçi Yolu,,
Arsemia Çiğköfte,Köroğlu Caddesi,,
Çiğköfteci Ömer Usta,Köroğlu Caddesi,,
Namlı Gurme,Telekom Sk.,,
Sarıyer Börekcisi,Atatürk Caddesi,,
Meşhur Adıyamanlı Çiğköfteci,Atatürk Caddesi,,
Limon Çiçeği Restaurant,,,
Vesta,,,
Nevazen Türk Mutfağı,,,
Pasa Limani Restoran Cafe,,,
Eroğlu Aile İşkembe Salonu,,,
Şirin Mutfak Ev Yemekleri,,,
Kebab House,,,
Beyoğlu Çorbacısı,,,
Halis Şef,,,
Özeyvan,,,
Çiğköftem,Prof. Dr. Kemal Akgüder Caddesi,,
Özkaradeniz,,,
Arsemia Çiğköfte,,,
Lalezar Döner,,,
Mia Mensa,,,
Şampiyon Kokereç,Emin Ali Paşa Caddesi,,
Şen Lokantası,Vukela Caddesi,,
Erkonyalılar,Vukela Caddesi,,
Ayşenin Mutfağı,Prof. Dr. Kemal Akgüder Caddesi,,
Selmikanın Mutfağı,,,
01 Adana Cadde Kebap,Prof. Dr. Ali Nihat Tarlan Caddesi,,
Takıntı Restaurant,Prof. Dr. Ali Nihat Tarlan Caddesi,,
Tavuk Dünyası,,,
Girne,,,
Pizza Lazza,Şemsettin Günaltay Caddesi,,
Arsamiea ÇiğKöfte,Prof. Dr. Ali Nihat Tarlan Caddesi,,
Erenler Sofrası,Prof. Dr. Ali Nihat Tarlan Caddesi,,
Galata Sembol Balık,,,
Gölbaşı Et ve Balık Restaurant ve Balık Çiftliği Kır Bahçesi,,,
Çekmeköy Nefist Döner,,+90 216 642 90 85,
Meşhur Sarıyer Börekçisi,,,
Elvan Kebap,Vukela Caddesi,,
Bizim Dürüm,Emin Ali Paşa Caddesi,,
Selami Karakelle Altın Eldiven Balık ve Dürüm Evi,Çetin Emeç Bulvarı,,
Pinhan,,,
Hanımeli Boşnak Börekçisi,kaşmir sokak,,
Atalar Kordor,,,
Mangalcı,,,
Niyazibey,,,
Dilek Restaurant,,,
Karadeniz Güveç ve Pide Salonu,,,
Roma Restaurant,,,
Hacıoğlu,Eyüp Caddesi,+90 212 616 2470,
Necdet Usta Sofrası,,,
Ali Baba,,,
özeyvan,,,
Bostancı Köftecisi,Vukela Caddesi,,
Pass Döner,Vukela Caddesi,,
Abov Kebap,Bağdat Caddesi,,
Big Chefs,Bağdat Caddesi,,
Reşat Balık,Bağdat Caddesi,,
ArtSmyrna Cafe & Gallery,,,
Elif Kokoreç,,+90 216 642 75 35,
Altaş Et Mangal,,,
Faruk Güllüoğlu,,,
Le Pain Quotidien,Bağdat Caddesi,,
günay restorant,,,
mevlana simit fırın,mutluluk sokak,,
Kumluk Restaurant,,,
Adıyman Çiğköfte,Prof. Dr. Kemal Akgüder Caddesi,,
Minik Usta,Prof. Dr. Kemal Akgüder Caddesi,,
Öztürkler Şark Sofrası,,,
Şule'nin Mutfağı,Şemsettin Günaltay Caddesi,,
Serpmeköy Trabzon Köy Kahvaltısı,Şemsettin Günaltay Caddesi,,
Üstad Burger,Ayşe Çavuş Caddesi,,
Sultan Şark Sofrası,,,
Saray Şark Sofrası,,,
Antepli,,,
Çorbacı Müdavim,,,
Karadeniz Salonu,,,
Raguba,,,
Ustam Ocakbaşı,Şemsettin Günaltay Caddesi,,
Konyalılar Etli Ekmek,Şemsettin Günaltay Caddesi,,
Hasan Usta,Ayşe Çavuş Caddesi,,
Ailem,,,
Raguba Restaurant,,,
İbrahim Ocak Şark Sofrası,,,
Radop Köftecisi,,,
Kervan Gaziantep Lezzetleri,,,
Komagene,,,
Pilavcı Baba,,,
Köfte Manyas,,,
Haliç,,,
Hannevi Restaurant,,,
Ali Baba,,,
Vizyon Restaurant Bar,,,
Dilara Ocakbaşı,,,
Çalı Restorant,,,
