Adı,Adres,Telefon,Web Sitesi,E-posta,Google Maps Link
Satır Kebap Ciğer İzmit,"Yenişehir, Demokrasi Cd. No:48, 41050 İzmit/Kocaeli",0542 208 48 69,N/A,Web sitesi yok,https://www.google.com/maps/place/Sat%C4%B1r+Kebap+Ci%C4%9Fer+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4fb926eef1b9:0x6afa7dc1e62c34ed!8m2!3d40.763217!4d29.9646292!16s%2Fg%2F11s5f1gm67!19sChIJufHuJrlPyxQR7TQs5sF9-mo?authuser=0&hl=tr&rclk=1
Mihman Tantuni,"Mahmutpaşa, Mahmutpaşa Cd NO: 35/A, 41140 Başiskele/Kocaeli",0540 433 33 41,N/A,Web sitesi yok,https://www.google.com/maps/place/Mihman+Tantuni/data=!4m7!3m6!1s0x14cb4507cfc235e7:0x7d752c66cbc7a68c!8m2!3d40.7231212!4d29.9543539!16s%2Fg%2F11w964z_vl!19sChIJ5zXCzwdFyxQRjKbHy2YsdX0?authuser=0&hl=tr&rclk=1
Şahane Restaurant,"Yenişehir, Gazi Mustafa Kemal Blv. NO:157, 41100 İzmit/Kocaeli",(0262) 311 10 00,http://sahaneiskembe.com/,E-posta bulunamadı,https://www.google.com/maps/place/%C5%9Eahane+Restaurant/data=!4m7!3m6!1s0x14cb4fe448fb1fe3:0x4b1ebdab40b8babf!8m2!3d40.767862!4d29.9663132!16s%2Fg%2F1tf21f3b!19sChIJ4x_7SORPyxQRv7q4QKu9Hks?authuser=0&hl=tr&rclk=1
BURSA KEBAP EVİ SYMBOL AVM,"Ovacık, Adapazarı No:34, Çayırköy, İzmit Cd. Symbol Avm, 41140 Başiskele/Kocaeli",(0262) 502 27 72,N/A,Web sitesi yok,https://www.google.com/maps/place/BURSA+KEBAP+EV%C4%B0+SYMBOL+AVM/data=!4m7!3m6!1s0x14cb50036726a9e5:0x426c9410cf31b6e8!8m2!3d40.7593784!4d29.9794072!16s%2Fg%2F11c37nnr56!19sChIJ5akmZwNQyxQR6LYxzxCUbEI?authuser=0&hl=tr&rclk=1
Cilve Yeni Nesil Meyhane,"Yenişehir, Demokrasi Cd. No:25, 41050 İzmit/Kocaeli",0549 761 21 00,N/A,Web sitesi yok,https://www.google.com/maps/place/Cilve+Yeni+Nesil+Meyhane/data=!4m7!3m6!1s0x14cb4ff467563a49:0x35c18a7c33a41036!8m2!3d40.7629815!4d29.9637085!16s%2Fg%2F11s9y4t79q!19sChIJSTpWZ_RPyxQRNhCkM3yKwTU?authuser=0&hl=tr&rclk=1
Avrasya cafe Restorant,"Yenişehir, Dönmez Sk. No.1, 41050 İzmit/Kocaeli",0533 659 78 54,N/A,Web sitesi yok,https://www.google.com/maps/place/Avrasya+cafe+Restorant/data=!4m7!3m6!1s0x14cb4f155e81fc6b:0xd0396ff8ee35de49!8m2!3d40.7673373!4d29.9665586!16s%2Fg%2F11px38s412!19sChIJa_yBXhVPyxQRSd417vhvOdA?authuser=0&hl=tr&rclk=1
"Refiye Restoran - Cağ Kebap , Izgara , Serpme Kahvaltı , İzmit","Yahyakaptan, Kara Yolu Cd. No:21/B, 41050 İzmit/Kocaeli",(0262) 333 11 12,https://www.refiyerestaurant.com/,Site hatası,"https://www.google.com/maps/place/Refiye+Restoran+-+Ca%C4%9F+Kebap+,+Izgara+,+Serpme+Kahvalt%C4%B1+,+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f5acc34e273:0x75da875d03438e1f!8m2!3d40.7798403!4d29.9727987!16s%2Fg%2F11g1qj706h!19sChIJc-I0zFpPyxQRH45DA12H2nU?authuser=0&hl=tr&rclk=1"
Salash Burger,"Yenişehir, Democracy Boulevard No:86, 41050 İzmit/Kocaeli",(0262) 643 54 61,http://www.salashburger.com/,E-posta bulunamadı,https://www.google.com/maps/place/Salash+Burger/data=!4m7!3m6!1s0x14cb4ff0fec7e08d:0xfe2bfd79895fb935!8m2!3d40.7635553!4d29.9598363!16s%2Fg%2F11hb33blxs!19sChIJjeDH_vBPyxQRNblfiXn9K_4?authuser=0&hl=tr&rclk=1
Kadirbey Yemek,"Karadenizliler, Alsancak Cd. No:329, 41140 Başiskele/Kocaeli (İzmit)",(0262) 349 23 99,https://www.yemekpazari.net/kadirbey_yemek_kocaeli.htm,E-posta bulunamadı,https://www.google.com/maps/place/Kadirbey+Yemek/data=!4m7!3m6!1s0x14cb455803d56c47:0xbd3232c8b5987b24!8m2!3d40.755994!4d29.962302!16s%2Fg%2F1q66_xqxs!19sChIJR2zVA1hFyxQRJHuYtcgyMr0?authuser=0&hl=tr&rclk=1
Özkılıç Aspava Lounge,"Yenişehir, Demokrasi Cd. No:65, 41040, 41200 İzmit/Kocaeli",(0262) 311 46 46,https://www.ozkilicaspava.com.tr/,iletisim@ozkilicaspava.com.tr,https://www.google.com/maps/place/%C3%96zk%C4%B1l%C4%B1%C3%A7+Aspava+Lounge/data=!4m7!3m6!1s0x14cb4fb3b12f19a7:0xf61d4637eed58170!8m2!3d40.7632347!4d29.9599681!16s%2Fg%2F11l6j4rdww!19sChIJpxkvsbNPyxQRcIHV7jdGHfY?authuser=0&hl=tr&rclk=1
Terra Pizza - Kocaeli Symbol Avm,"Ovacık, D100 No:34, 41140 Başiskele/Kocaeli",(0262) 502 26 92,https://www.terrapizza.com.tr/,ornek@terrapizza.com,https://www.google.com/maps/place/Terra+Pizza+-+Kocaeli+Symbol+Avm/data=!4m7!3m6!1s0x40870284a8289bd5:0xedb9ac5c134e64c9!8m2!3d40.759105!4d29.980239!16s%2Fg%2F11ltzw2ds2!19sChIJ1ZsoqIQCh0ARyWROE1ysue0?authuser=0&hl=tr&rclk=1
Shell Kocaeli Başiskele SÜMERLER Petrol A.Ş,"Atakent, Atatürk Cd., 41255 Başiskele/Kocaeli",(0262) 341 26 30,https://find.shell.com/tr/fuel/10049416-ilicadere/tr_TR,Site hatası,https://www.google.com/maps/place/Shell+Kocaeli+Ba%C5%9Fiskele+S%C3%9CMERLER+Petrol+A.%C5%9E/data=!4m7!3m6!1s0x14cb46aad9f8853f:0x7169bbc61c7b522d!8m2!3d40.7063546!4d29.8790033!16s%2Fg%2F1tfq11_c!19sChIJP4X42apGyxQRLVJ7HMa7aXE?authuser=0&hl=tr&rclk=1
The House Cafe İzmit,"Yenişehir, Konak Sk. No: 19, 41050 İzmit/Kocaeli",0506 871 49 26,http://www.thehousecafe.com/,E-posta bulunamadı,https://www.google.com/maps/place/The+House+Cafe+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4f40a6e461b9:0x96504557dfa86b78!8m2!3d40.7659823!4d29.9666466!16s%2Fg%2F11ss57gl29!19sChIJuWHkpkBPyxQReGuo31dFUJY?authuser=0&hl=tr&rclk=1
